"userid","ope","con","ext","agr","neu","message"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","likes the sound of thunder."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is so sleepy it's not even funny that's she can't get to sleep."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","likes how the day sounds in this new song."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is home. <3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","www.thejokerblogs.com"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is in Kentucky. 421 miles into her 1100 mile journey home."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is celebrating her new haircut by listening to swinger music and generally looking like a doofus."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a crush on the Green Lantern."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has magic on the brain."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","saw Transformers, Up, and Year One this week. Good movie overload. :D"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Who wants to meet up on schedule pick-up day at Oviedo?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","desires the thrill of inspiration. Also, money."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is going to bed at 9:30! Yeah!"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","thinks intangibility should be an option in reality settings."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is tired. *PROPNAME*, let me go to sleep pl0x."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is discovering the many flavors of insomnia."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is watching cousin play computer game on televison box thing. Also, sleepy."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Why is it I'm only getting the urge to draw when I have stuff to do for school? D;"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Who'da thought a single text message could be enough to change my mind?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","wishes to develop a super power that prevents her from needing to sleep."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","TELL ME WHAT TO DRAW, PLOX."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","found a bunny, bunny died, buried bunny, now is drawing."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","<3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is just about insane by now."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","wants to sleep eight hours tonight. And so she shall."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :("
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is watching kid's cartoons and wishing she weren't so old."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has work tomorrow, and hopes they teach her how to use the cash register. :D"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a really confusing internal dilemma. She also wonders if anyone can guess what it is."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","thinks she needs to stop leaving so many pictures half-done before getting new ideas."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is seeing 9 tonight... maybe?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is going to work on comics, then crash into her futon with all the love unconsciousness deserves."
